2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/recharge】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20109","message":"手机号格式不正确"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/recharge】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20109","message":"手机号格式不正确"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/recharge】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20104","message":"该手机号尚未注册为会员"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:46) - [ INFO ]----接口调用前的数据验证查询
2020-03-06 11:06:58 method: com.autotest.util.JDBCUtil.setConnection(JDBCUtil.java:82) - [ INFO ]----数据库连接成功
2020-03-06 11:06:58 method: com.autotest.util.JDBCUtil.sqlQuery(JDBCUtil.java:58) - [ INFO ]----数据库连接关闭
2020-03-06 11:06:58 method: com.autotest.util.VariableUtil.replaceVariables(VariableUtil.java:50) - [ INFO ]----将参数化变量【${awaitRegisterMobilephone}】替换为【18995270001】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
